campaign_duration,dollars_pledged
17,616.88
60,70
24,13157
30,2
34,9561
60,0
32,3528
26,602
30,1615
35,4052
31,2593
36,6272
30,2785
60,0
34,39.27
30,3396.77
30,71
30,1
45,50523
45,1.14
30,94
30,1604.95
30,4250
30,10255
60,5
30,0
60,0
30,25
39,48859
30,13348
30,1072
28,6.48
41,16440.72
60,2817.48
30,19557
30,2
30,250
30,0
25,3228
29,0
45,14439
60,0
26,1800
60,0
28,1300
41,8540
7,780
28,776
3,0
30,4370
30,0
30,5917
60,0
37,45
30,10131.01
30,26
25,25
30,58
29,676
14,532.78
25,0
30,2437.5
49,165
30,0
30,1840.45
60,309.44
39,503
89,490
86,3653
30,30
30,0
30,338
34,1364
57,65.4
30,12.99
30,0
45,2004
30,0
60,1085
30,335
1,500
30,17
21,50
21,24688.5
30,690
29,290
40,124.79
43,3
31,1
23,0
30,15050.01
30,45
35,151
31,5348
8,314.22
60,140
30,121
54,45
30,326.36
55,85
30,0
45,252
30,829
21,498.48
30,2167.34
31,0
20,0
40,4853.21
29,1
14,13701.35
29,0
18,3582
13,370
60,41
30,123.83
45,2962
30,325
30,10
30,84
30,2501
40,0
41,790
30,145
54,2680
14,338
30,210
40,395.4
30,8245.11
31,0
7,77
60,46.54
20,0
60,0
45,4.51
34,510
30,3453
38,26998.28
30,319.45
30,7
45,390
45,16
46,1756
5,65
28,64325
40,776
35,5.23
32,10535
30,565
30,0.75
30,100
32,4712
15,973
30,1505
60,4973
60,2525
30,2087
40,2219.34
30,75
30,5467
31,1780
35,9011
29,16038
26,342.41
30,3369
30,65.7
47,590
60,125
46,285
33,7594.33
25,1359.8
33,1115.77
30,4260
35,35138
60,6156
30,2971
30,542
20,1687
30,152.26
29,1005.58
30,2661
30,584
60,3
30,1
30,0
25,1080
40,302
30,135
30,1
91,3205
61,8300
48,8077
34,1320
45,32535
30,33.61
17,26
30,690
28,60470
30,0
30,10
30,0
84,545
30,423
21,0
41,8036
40,1
60,100
59,120
30,4456.66
30,34440.25
24,0
30,18727
37,13201
30,360
14,693.5
30,797
40,0
30,280
30,300
30,5874.77
30,30
40,5213.26
31,19507
30,2175
30,500
30,1002.72
30,815
25,2510
59,26
22,899.28
21,14961
33,115
33,687
60,2610
30,401
30,0
33,2281
30,0
30,4637.39
20,1301
30,28.21
30,1116
32,30202.01
30,413
30,380
30,0
60,0
30,52275.66
44,0
29,220
30,2779.25
11,510
31,5307
31,4169
30,0
30,4
7,316
30,12797
20,231.97
60,3025
30,40
45,620
30,151
40,100
60,3752
54,31
29,130.02
9,0
40,393
30,330
30,1003
60,4638.38
49,8863.33
21,2758.72
36,0
30,0
30,571
21,10170
35,4498.28
30,3.03
30,1895.01
15,16
30,1.14
60,100
60,0
36,135
45,4130
35,35
30,100
30,64
40,264.13
30,6
31,19815
60,493
30,25
21,110
50,89.33
31,14354.81
7,53.36
60,479
31,110569.56
30,6281
30,1031.53
30,0
30,0
33,2606
30,896
31,1432.44
30,153
60,0
34,7138
30,161169
21,7949.46
30,0
25,1298.44
31,8808.63
30,65
50,5614
45,3053
30,11827
47,2774
30,220
30,26131
30,2461
30,734
30,5540.07
45,1494.51
60,183.04
30,1
30,23697.32
30,14236.62
30,15371
30,40131.37
30,156.25
37,327
40,0
30,145
30,8718
40,749
25,5300
7,45
42,5552
30,2000.18
34,17025
30,0
16,1375
60,0
30,105
60,0
30,5233.1
35,1153.83
30,26.45
25,0
30,1468.52
75,4113
40,2106
20,5128
28,2019.8
30,20576.5
30,69
55,0
30,1
60,3076
30,149.83
60,1.04
30,596
30,10
30,3257.24
30,1828
36,3770
20,0
89,1312.48
30,32
30,0
15,1500
60,75
30,13537
31,8255
60,235
30,71.67
31,425
30,685
30,6086
30,286
47,23.86
20,507
38,4665
76,15110.83
35,7000
40,1545
30,0
30,174525.11
19,0
30,2611
45,15212
60,139
30,10442
30,21732.5
30,346
30,26
45,2160
60,0
30,35
30,0
21,3602
40,215
31,305
30,145
7,106
30,1858
35,0
30,760.09
60,0
30,690
35,107235.02
23,0
54,1
30,20
40,1690
35,836
31,3221
30,320
22,6825.53
30,1055
30,43389
30,803.59
61,0
45,891
30,893.54
25,3417
5,2098
30,2990
45,210237.42
30,12582
30,46253
23,13515.57
30,5207.79
30,295
30,1001
30,0
31,24578
30,26
35,952616.12
30,119.39
21,1.1
30,1
20,149.51
34,3939
40,964
22,4062
30,5005
29,1.49
32,16163.99
30,1
30,0
30,32245
30,44748
30,0
30,0
30,0
30,67.65
30,454.34
30,5
15,15516.71
30,4.36
30,201
29,105
30,14817.71
30,0
30,1596.84
22,1335
30,4733
45,28941
40,1846
27,1731
30,1709
66,3000.74
30,45.07
30,0
30,2176
30,2513
30,130
30,2
28,483.48
42,15838
60,1941.75
30,622.18
35,0
30,125.09
31,1588.18
60,2459.89
45,3206
35,56.22
